SES.Quintile,Sex,Month,Age,Deaths.2015,Deaths.2016,Deaths.2017,Deaths.2018,Deaths.2019
4,1,9,45-54,1491.165187,1403.228352,1457,1386.069861,1344.19998
5,1,9,45-54,1226.226294,1198.207893,1240,1187.404876,1164.137416
All,1,9,45-54,8527.715946,8313.760651,8524.150047,8077.783884,7794.809003
1,2,9,45-54,1538,1510.05412,1387.111623,1397,1316.092406
2,2,9,45-54,1211,1233.05359,1127.048911,1083,1102.051595
3,2,9,45-54,1121.107596,1117.10861,1039.04717,1008,927
4,2,9,45-54,923,930.0527991,928.0496822,849.0443566,793
5,2,9,45-54,811.0525834,797.0456599,751,701.0830685,696.0809151
All,2,9,45-54,5604.163697,5587.319239,5232.245318,5038.143478,4834.2257
1,1,10,45-54,2385.171204,2411.161535,2230.29251,2277.077209,2181.217796
2,1,10,45-54,1840.071555,1843,1842.143225,1742.067845,1730
3,1,10,45-54,1699.152686,1704.071924,1693.069544,1632,1607
4,1,10,45-54,1435.074842,1501.079674,1481.29162,1444.070549,1401.067444
5,1,10,45-54,1287.145941,1279.270574,1253.128169,1127.496443,1213.061383
All,1,10,45-54,8646.608734,8738.595713,8499.930448,8222.750824,8132.331515
1,2,10,45-54,1578,1609,1516.055758,1500,1419
2,2,10,45-54,1177.04819,1198,1168,1113.142406,1092
3,2,10,45-54,1104.04757,1193.052937,1148,1020,1001
4,2,10,45-54,976,988.0519599,881,891,837
5,2,10,45-54,818,827.0406292,738,723.1561141,670
All,2,10,45-54,5653.102876,5815.156369,5451.048512,5247.323809,5019
1,1,11,45-54,2364.079855,2426.409125,2179.068073,2206.068738,2172.138545
2,1,11,45-54,1882.077513,1791,1790.068637,1685,1690.065777
3,1,11,45-54,1669,1678.146396,1721,1594,1571
4,1,11,45-54,1427.072888,1470.076899,1353.256815,1332.069432,1434.134881
5,1,11,45-54,1192.066374,1205.139736,1120.063856,1108.469876,1158.120664
All,1,11,45-54,8534.305717,8570.739341,8163.481443,7925.662875,8025.455153
1,2,11,45-54,1510,1530.05353,1443,1417,1464.053677
2,2,11,45-54,1172,1203,1104.045431,1111,1129.043431
3,2,11,45-54,1119.049522,1096.049132,1021,1002,1060
4,2,11,45-54,925,933,929.0452929,911,864.0412218
5,2,11,45-54,741.0390839,774.2182456,767.0421129,738.0832068,708.1890314
All,2,11,45-54,5467.101126,5536.34792,5264.140756,5179.091013,5225.361614
1,1,12,45-54,2390.073761,2492.379347,2426.076151,2373.146258,2315.075792
2,1,12,45-54,1982.154921,1958.07,1893.338772,1821.066028,1807
3,1,12,45-54,1743.14321,1857,1830,1726,1732
4,1,12,45-54,1496,1537.283955,1609.067563,1520.067554,1458.06181
5,1,12,45-54,1231.134018,1256.133003,1327.193036,1226.249077,1245.299853
All,1,12,45-54,8842.520306,9100.862873,9085.692782,8666.542868,8557.457304
1,2,12,45-54,1640.107959,1727.168183,1689.056202,1536,1428
2,2,12,45-54,1229.151161,1285,1325.097944,1188,1173.046415
3,2,12,45-54,1193.051103,1146,1151.04515,1092,1077.041559
4,2,12,45-54,1006,967.0888653,972,886.0435833,910
5,2,12,45-54,861.0451902,763,787,740.0807984,780.0755951
All,2,12,45-54,5929.361638,5888.24006,5924.185844,5442.134302,5368.171802
1,1,1,55-64,5555,5367.336384,5602.811023,6239,5637
2,1,1,55-64,4259.294331,4254.15564,4368.153457,4756.60676,4429
3,1,1,55-64,4013.146307,3873,4076.158927,4335,4197.150705
4,1,1,55-64,3256.581278,3164,3361.143912,3608.586828,3424.1456
5,1,1,55-64,2893.287513,2796,2776.127273,2987,2792.406032
All,1,1,55-64,19977.36823,19454.46858,20184.37081,21926.2161,20479.7775
1,2,1,55-64,3638.112655,3523,3732,4022,3753.118167
2,2,1,55-64,2666,2816,2754,3162.098951,2936
3,2,1,55-64,2546.094172,2573,2722,2866,2659.210304
4,2,1,55-64,2160.182191,2076,2209,2362,2190
5,2,1,55-64,1769.085616,1823,1822,1934,1817.092778
All,2,1,55-64,12779.47703,12811,13239,14346.10067,13355.42416
1,1,2,55-64,4908.495934,5133.347413,5094,5076,5220
2,1,2,55-64,3791.161677,4070.316152,3993,4058.313215,4029
3,1,2,55-64,3491.153333,3686.154528,3573.150013,3718.160527,3634
4,1,2,55-64,2847.436654,2972.298523,2987.14453,3037.143414,3085.446778
5,1,2,55-64,2460.132348,2546,2541,2611,2632.718804
All,1,2,55-64,17498.39124,18408.10583,18188.30797,18500.61655,18601.2424
1,2,2,55-64,3147.109068,3276,3327.111827,3408,3387
2,2,2,55-64,2439,2569,2514,2595,2571
3,2,2,55-64,2288.098372,2391,2381,2391.097669,2297
4,2,2,55-64,1864.09061,2019,2007.196968,1941.094975,2037
5,2,2,55-64,1585,1681,1668,1634,1605
All,2,2,55-64,11323.29838,11936,11897.30849,11969.20465,11897
1,1,3,55-64,5342.492146,5466,5420.331135,5583,5659.327607
2,1,3,55-64,4185,4218.303261,4249.470942,4198.463924,4385.153502
3,1,3,55-64,3764.153908,3869.147469,3835.147623,3913.147391,3877.150659
4,1,3,55-64,3052.294025,3317.309985,3287.304,3278.441396,3309.291429
5,1,3,55-64,2727,2817.426929,2714.557847,2679.671561,2722.276496
All,1,3,55-64,19070.94066,19688.27163,19506.84066,19652.85417,19953.21972
1,2,3,55-64,3423,3608.117489,3614,3693.127766,3728.253805
2,2,3,55-64,2730.218686,2865,2801.215292,2865.225882,2847
3,2,3,55-64,2532,2631.107394,2598,2518,2737
4,2,3,55-64,2036.191893,2197,2100.093197,2051.094358,2094
5,2,3,55-64,1767.185752,1841,1779,1770,1798.090951
All,2,3,55-64,12488.61892,13142.21827,12892.31051,12897.42421,13204.31931
1,1,4,55-64,4866.163583,5155.343873,5144,5175,5138.169087
2,1,4,55-64,3884,4022.160243,4020.477248,3986.302424,4076.171314
3,1,4,55-64,3549,3757.318952,3718.306976,3720.306737,3828
4,1,4,55-64,2999.310161,2978.301191,2952,3041.146322,3047.443402
5,1,4,55-64,2451.144206,2513.425907,2575.425324,2579.564322,2534.269933
All,1,4,55-64,17749.62726,18426.59416,18410.24821,18502.39542,18624.07899
1,2,4,55-64,3151,3240,3319.123688,3383.118754,3369
2,2,4,55-64,2480.222445,2634.110443,2767,2543,2684.220114
3,2,4,55-64,2338.104999,2496,2346.101284,2454.208726,2484
4,2,4,55-64,1903,1942.096655,1962.188188,1957.095066,1976.094879
5,2,4,55-64,1712,1667.085323,1695,1633,1673
All,2,4,55-64,11584.31243,11979.32202,12089.42481,11970.42064,12186.31949
1,1,5,55-64,5020,5147.354475,5153,5212.167013,5335.338402
2,1,5,55-64,4045.166885,3983.823658,4062.165525,4071.320374,4191
3,1,5,55-64,3737.482316,3738.473014,3776,3766.467866,3777
4,1,5,55-64,2944.148241,3012.304217,3064.453905,3179,3081.733986
5,1,5,55-64,2491.146128,2514.290013,2573.281465,2565.422084,2623.565821
All,1,5,55-64,18237.9612,18396.24648,18628.94813,18794.42506,19008.702
1,2,5,55-64,3250,3260,3369.117541,3210,3348
2,2,5,55-64,2466,2530,2614,2651,2618
3,2,5,55-64,2347,2382.10596,2450,2380,2555
4,2,5,55-64,1959,1986.103441,1975.103792,1986,1966.098663
5,2,5,55-64,1617,1686.09784,1722.189585,1567.089954,1687
All,2,5,55-64,11639,11844.32337,12130.43407,11794.10715,12174.10675
1,1,6,55-64,4912.181616,4782,5099.345301,4967.171943,5062.34968
2,1,6,55-64,3773.487114,3838,4027.493139,3934.155819,4003.797139
3,1,6,55-64,3506.315205,3513.15146,3676,3722,3720.31659
4,1,6,55-64,2914.61831,2892,2975.470785,3064.151661,2963
5,1,6,55-64,2361.880121,2466.454817,2504.130996,2560.731577,2515.141589
All,1,6,55-64,17468.58959,17491.63957,18282.45172,18248.27836,18264.55965
1,2,6,55-64,3054,3059,3122.231399,3182,3284.117843
2,2,6,55-64,2394,2389.115774,2529.116731,2573.115912,2442.11313
3,2,6,55-64,2205.101493,2286,2425,2372,2399
4,2,6,55-64,1907,1872.107095,1903.207252,1955,1930.098183
5,2,6,55-64,1577.09789,1620.093872,1677.283553,1620.085732,1581
All,2,6,55-64,11137.21575,11226.32492,11656.88321,11702.22099,11636.32229
1,1,7,55-64,4926.510161,4926.335734,5196.177185,5139.344871,5304.176023
2,1,7,55-64,3866.656912,3952.157474,3900.162381,4119.329747,4078.486436
3,1,7,55-64,3565,3832.16408,3775,3807,3787.306514
4,1,7,55-64,3019,3061,3116.15871,3137.623768,3113.611074
5,1,7,55-64,2454.434668,2681.15835,2563.148689,2516.416199,2531.131185
All,1,7,55-64,17831.61083,18452.8162,18550.64617,18719.75721,18814.73009
1,2,7,55-64,3146.12048,3087.241295,3313,3316.129576,3308
2,2,7,55-64,2446,2562.116871,2581,2503.11121,2531.114358
3,2,7,55-64,2328,2342,2433,2429,2408
4,2,7,55-64,1902,1922.208284,1886,2057,1959.102879
5,2,7,55-64,1600.185582,1618,1653.105931,1631.097818,1629.289688
All,2,7,55-64,11422.3225,11531.54063,11866.11086,11936.33179,11835.54001
1,1,8,55-64,4908.178385,4998.344911,5074.692419,5020,5117.337216
2,1,8,55-64,3837,3940.162162,3941.477335,4199.502726,4107.321974
3,1,8,55-64,3585.479132,3775,3660.157983,3845.161593,3663
4,1,8,55-64,2998.480344,2955.302788,3019.149907,2973,3117.458875
5,1,8,55-64,2462,2571.149104,2488,2629.580498,2471.69364
All,1,8,55-64,17791.13184,18239.96441,18183.42283,18667.2819,18476.8731
1,2,8,55-64,3080.114177,3201,3197.124114,3237,3306.118739
2,2,8,55-64,2438.108716,2453,2544,2628.111534,2575.347404
3,2,8,55-64,2251.11155,2327.104833,2378,2380,2342.104169
4,2,8,55-64,1853.195477,1969.106844,1913,1972,1933.104425
5,2,8,55-64,1554.188908,1605.096038,1651.10138,1683.189238,1583.190568
All,2,8,55-64,11176.74959,11555.32571,11683.21865,11900.33131,11739.86237
1,1,9,55-64,4760,4810.341632,4975,4846.336362,5115.702751
2,1,9,55-64,3633.471332,3827.331183,4004.161009,3854,3915.317934
3,1,9,55-64,3446.154528,3573,3591.159743,3590.307342,3625.149574
4,1,9,55-64,2875.313721,2841.456318,2890,3026.158269,2961.449576
5,1,9,55-64,2445.447692,2475.438518,2499,2465.849918,2378.272963
All,1,9,55-64,17160.44071,17527.60365,17959.31613,17782.72567,17995.86774
1,2,9,55-64,3094,3140.117045,3244.257491,3104,3210.23466
2,2,9,55-64,2390,2489.108767,2511.110526,2460,2542.111232
3,2,9,55-64,2278.2183,2359.216837,2320.105755,2353,2322
4,2,9,55-64,1866,1806.10011,1896.09661,1777.091348,1857
5,2,9,55-64,1586.096594,1555.087047,1673,1593.192877,1554.183859
All,2,9,55-64,11214.32757,11349.64848,11644.54596,11287.32144,11485.53624
1,1,10,55-64,5014.344552,5033.337109,5226.68468,5268.172909,5156.508999
2,1,10,55-64,3980.164594,4051,4039.327015,4148.159053,4097
3,1,10,55-64,3615.316601,3714.159749,3739.151444,3801,3770
4,1,10,55-64,3029.156905,3037.152891,3061.599518,3117.146863,3133.144631
5,1,10,55-64,2589.292099,2532.545063,2560.276111,2636.123533,2616.13835
All,1,10,55-64,18228.2833,18368.25217,18627.03902,18970.73223,18772.76527
1,2,10,55-64,3211,3259,3315.122,3263,3252
2,2,10,55-64,2603.108883,2484,2585,2570.325906,2691
3,2,10,55-64,2373.106732,2443.106329,2508,2397,2479
4,2,10,55-64,1859,1984.103616,2078,1963,2017
5,2,10,55-64,1680,1730.08952,1707,1693.365439,1633
All,2,10,55-64,11726.2134,11900.32,12193.10851,11886.73352,12072
1,1,11,55-64,4917.165432,5035.846575,5128.165258,5101.158807,5163.329005
2,1,11,55-64,3815.155027,3987,4037.154893,4104,4200.150261
3,1,11,55-64,3564,3645.300533,3820,3816,3789
4,1,11,55-64,2951.153515,2934.151341,3012.575267,3108.153182,3209.301811
5,1,11,55-64,2465.137133,2508.285037,2599.145604,2585.162579,2531.269431
All,1,11,55-64,17712.6345,18110.56228,18597.09677,18714.56522,18893.0715
1,2,11,55-64,3119,3313.119465,3299,3367,3477.128027
2,2,11,55-64,2459,2584,2567.108468,2676,2727.112143
3,2,11,55-64,2364.10551,2361.10405,2422,2423,2387
4,2,11,55-64,1980,2007,2018.101255,1926,1978.097074
5,2,11,55-64,1598.08546,1628.465874,1636.095664,1658.187873,1692.454332
All,2,11,55-64,11520.21309,11893.74744,11942.31932,12050.21176,12261.84856
1,1,12,55-64,5224.166656,5557.845813,5608.173421,5486.338284,5604.175375
2,1,12,55-64,4170.325948,4282.158626,4442.79223,4374.157712,4340
3,1,12,55-64,3742.307335,3943,4079,3994,4033
4,1,12,55-64,3048,3322.615492,3311.14543,3272.151929,3230.146444
5,1,12,55-64,2729.296948,2729.281653,2789.411545,2683.550589,2848.705161
All,1,12,55-64,18914.11293,19834.88059,20230.54257,19810.2409,20056.07178
1,2,12,55-64,3364.230609,3616.346946,3695.119545,3589,3662
2,2,12,55-64,2643.322379,2756,2913.208073,2740,2912.11397
3,2,12,55-64,2437.100265,2529,2698.105426,2602,2675.10209
4,2,12,55-64,2017,2181.200472,2205,2146.10157,2140
5,2,12,55-64,1690.08613,1813,1929,1749.186163,1779.172137
All,2,12,55-64,12151.74115,12895.52574,13440.42163,12826.31653,13168.42144
1,1,1,65-74,7342,7256.454463,7637.116982,8497,7840
2,1,1,65-74,5642.410969,5509.205975,5904.205465,6589.851834,6153
3,1,1,65-74,5138.190792,5146,5509.201648,6072,5771.212418
4,1,1,65-74,4250.767214,4202,4600.204127,4975.804281,4718.209244
5,1,1,65-74,3781.366139,3687,4021.184865,4406,4062.598158
All,1,1,65-74,26154.79132,25800.62143,27671.87932,30540.69389,28545.0837
1,2,1,65-74,5448.167713,5174,5742,6192,5816.181242
2,2,1,65-74,4240,4103,4480,4858.162464,4626
3,2,1,65-74,3867.141769,3865,4125,4569,4162.329536
4,2,1,65-74,3346.282568,3101,3559,3928,3584
5,2,1,65-74,2932.134168,2850,3020,3217,3021.149865
All,2,1,65-74,19833.74036,19093,20926,22764.15974,21209.67361
1,1,2,65-74,6542.657971,6826.458723,6761,7206,7280
2,1,2,65-74,4927.203606,5153.409718,5290,5510.421061,5630
3,1,2,65-74,4584.197863,4861.207059,4982.204649,5183.214671,5252
4,1,2,65-74,3761.587961,3932.395273,4094.208619,4166.206576,4272.620683
5,1,2,65-74,3298.183855,3487,3595,3569,3661.983608
All,1,2,65-74,23113.83771,24260.4574,24722.4186,25634.8543,26096.74304
1,2,2,65-74,4837.162036,4880,5205.178844,5307,5239
2,2,2,65-74,3669,4054,3960,4145,4242
3,2,2,65-74,3469.154692,3613,3693,3783.15901,3769
4,2,2,65-74,2935.146332,3061,3193.313362,3249.160134,3246
5,2,2,65-74,2525,2652,2728,2742,2751
All,2,2,65-74,17435.45944,18260,18779.48694,19226.32874,19247
1,1,3,65-74,6984.645804,7121,7404.452056,7484,7753.453203
2,1,3,65-74,5299,5577.425466,5714.637309,5812.641942,6305.228736
3,1,3,65-74,4989.203504,5292.205458,5398.206907,5460.205258,5797.220956
4,1,3,65-74,4069.398629,4271.403251,4288.396575,4475.620661,4619.421607
5,1,3,65-74,3399,3776.576467,3830.791205,3895.972528,4121.413089
All,1,3,65-74,24741.22034,26038.68179,26636.51341,27128.55948,28596.74809
1,2,3,65-74,5233,5349.17515,5581,5428.191079,5724.382514
2,2,3,65-74,4050.326397,4085,4317.331635,4271.336779,4434
3,2,3,65-74,3775,3959.160851,4000,4114,4198
4,2,3,65-74,3229.304134,3212,3428.158604,3198.152205,3517
5,2,3,65-74,2778.284768,2911,3017,2842,3087.155043
All,2,3,65-74,19065.94489,19516.32413,20343.48997,19853.65301,20960.50687
1,1,4,65-74,6646.222113,6797.453603,6946,7076,7076.236574
2,1,4,65-74,4897,5163.211333,5310.63676,5620.443715,5671.22121
3,1,4,65-74,4770,4814.408891,4983.411249,5188.416781,5311
4,1,4,65-74,3752.388046,3946.399162,3943,4204.210056,4211.621408
5,1,4,65-74,3367.190129,3532.594822,3538.578086,3712.814679,3881.423245
All,1,4,65-74,23432.8281,24254.09832,24721.67612,25801.94595,26151.51509
1,2,4,65-74,4823,4965,5098.185455,5059.174253,5404
2,2,4,65-74,3810.331077,3913.161785,4016,4156,4172.348556
3,2,4,65-74,3421.151154,3667,3827.167048,3887.327225,3885
4,2,4,65-74,2997,3132.162841,3177.31992,3172.161953,3177.160982
5,2,4,65-74,2612,2634.144331,2711,2726,2870
All,2,4,65-74,17663.47638,18311.49223,18829.66165,19000.66769,19508.51146
1,1,5,65-74,6521,6720.467026,6933,6994.233957,7330.464896
2,1,5,65-74,4983.209754,5243.072886,5413.222353,5553.437274,5713
3,1,5,65-74,4766.6079,4735.607184,4980,5052.630495,5373
4,1,5,65-74,3817.20357,3927.414879,4143.610535,4212,4291.032976
5,1,5,65-74,3382.193844,3328.389671,3546.398624,3587.591413,3807.815563
All,1,5,65-74,23470.23696,23954.92528,25016.27322,25399.92591,26515.37413
1,2,5,65-74,4693,4840,5004.181163,5073,5432
2,2,5,65-74,3683,3871,4054,4032,4208
3,2,5,65-74,3546,3581.159638,3749,3691,3899
4,2,5,65-74,2917,3005.15495,3013.156407,3090,3271.166419
5,2,5,65-74,2551,2704.153104,2769.305166,2631.151692,2804
All,2,5,65-74,17390,18001.49147,18589.66521,18517.16822,19614.17199
1,1,6,65-74,6059.224572,6393,6524.441218,6702.235767,6940.472909
2,1,6,65-74,4710.609025,4847,5160.640435,5213.218718,5693.132619
3,1,6,65-74,4518.405876,4601.210488,4840,4982,5101.432584
4,1,6,65-74,3562.797435,3789,3966.614462,4011.211753,4198
5,1,6,65-74,3203.153574,3396.60598,3426.190406,3523.012051,3542.197243
All,1,6,65-74,22054.26939,23026.84196,23917.8992,24431.71153,25475.17538
1,2,6,65-74,4450,4668,4796.36195,4927,4958.177083
2,2,6,65-74,3603,3554.170149,3712.165121,3816.171995,3966.181632
3,2,6,65-74,3314.16516,3509,3605,3744,3868
4,2,6,65-74,2779,2821.159645,2944.320707,2966,3117.16503
5,2,6,65-74,2445.148518,2557.147095,2543.434361,2659.146951,2632
All,2,6,65-74,16591.3214,17109.49519,17601.33361,18112.34205,18541.51354
1,1,7,65-74,6409.663614,6490.435485,6666.234362,6762.464443,7113.237934
2,1,7,65-74,4918.835244,5043.209684,5185.214373,5393.431781,5677.67249
3,1,7,65-74,4528,4810.207272,4961,5018,5244.424513
4,1,7,65-74,3625,3809,3995.204355,4151.826074,4192.823121
5,1,7,65-74,3262.596427,3319.191153,3463.20101,3680.61085,3762.195397
All,1,7,65-74,22744.0546,23472.03821,24270.84542,25006.34733,25990.38992
1,2,7,65-74,4619.180317,4924.378999,5010,4966.194644,4974
2,2,7,65-74,3701,3872.17513,3887,3964.170386,4007.177668
3,2,7,65-74,3481,3485,3704,3621,3768
4,2,7,65-74,2876,2975.322411,3050,3073,3126.167612
5,2,7,65-74,2440.283018,2533,2594.156818,2692.158241,2812.488313
All,2,7,65-74,17117.4833,17789.83403,18245.17046,18316.50914,18687.85266
1,1,8,65-74,6220.227904,6610.456123,6700.927343,6813,6988.455628
2,1,8,65-74,5017,5097.20704,5262.629294,5550.662547,5610.439804
3,1,8,65-74,4544.608073,4960,5000.212185,5062.212111,5240
4,1,8,65-74,3684.58729,3864.401894,3985.206046,4188,4261.639967
5,1,8,65-74,3152,3436.196839,3419,3543.814938,3782.034689
All,1,8,65-74,22618.43895,23968.26728,24367.90676,25157.7276,25882.62386
1,2,8,65-74,4666.172235,4778,4762.1878,4948,5061.183733
2,2,8,65-74,3578.157638,3772,3892,3909.172923,3995.538514
3,2,8,65-74,3342.159331,3623.167286,3653,3756,3803.168812
4,2,8,65-74,2779.312136,2892.159944,3096,2925,3125.165883
5,2,8,65-74,2510.306106,2592.157263,2559.149734,2736.30745,2769.324847
All,2,8,65-74,16876.13183,17657.49771,17962.33616,18274.50877,18754.37763
1,1,9,65-74,6175,6357.440797,6704,6678.463372,6777.923518
2,1,9,65-74,4929.636175,4731.40936,5148.216998,5249,5542.450315
3,1,9,65-74,4596.211299,4593,4954.207463,5035.428284,5069.21078
4,1,9,65-74,3576.401643,3796.619663,3930,3912.200618,4076.613856
5,1,9,65-74,3154.57782,3304.58104,3413,3513.199157,3543.396886
All,1,9,65-74,22431.88327,22783.08449,24149.42509,24388.3667,25009.59568
1,2,9,65-74,4478,4673.173312,4813.38236,4852,4932.375601
2,2,9,65-74,3598,3713.165904,3772.166152,3895,3843.16635
3,2,9,65-74,3304.316613,3503.326406,3563.157264,3585,3665
4,2,9,65-74,2727,2757.151043,3051.167903,3111.170949,3039
5,2,9,65-74,2457.151349,2609.144671,2650,2642.320219,2768.317941
All,2,9,65-74,16564.48385,17255.98594,17849.8369,18085.51505,18247.85195
1,1,10,65-74,6722.472883,6800.455282,6840.896223,7079.23581,7333.72639
2,1,10,65-74,5039.205785,5267,5480.440284,5632.217537,5777
3,1,10,65-74,4751.414146,4938.205741,5021.206295,5333,5349
4,1,10,65-74,3809.192292,3980.197795,4164.823407,4195.206273,4410.211215
5,1,10,65-74,3355.379264,3463.737679,3638.387067,3702.570516,3827.201931
All,1,10,65-74,23677.66694,24449.66674,25145.75259,25942.36881,26697.08831
1,2,10,65-74,4941,4889,5120.191271,5247,5342
2,2,10,65-74,3844.164366,3899,3953,4114.528126,4246
3,2,10,65-74,3609.164434,3592.159357,3907,3931,3798
4,2,10,65-74,2919,3040.151221,3081,3151,3373
5,2,10,65-74,2661,2674.137958,2688,2803.605096,2894
